Regulator,Target,raw_importance,norm_importance,is_pdac_driver
GPR42,FFAR3,0.0785783901810646,0.0785783901810646,False
CTD-2126E3.4,SYT3,0.07242077589035034,0.07242077589035034,False
FFAR3,GPR42,0.07067010551691055,0.07067010551691055,False
HBB,HBA2,0.06328735500574112,0.06328735500574112,False
IGJ,MZB1,0.060273028910160065,0.060273028910160065,False
SYT3,CTD-2126E3.4,0.06016114726662636,0.06016114726662636,False
CPA2,CPA1,0.05953003838658333,0.05953003838658333,False
LINC00342,ANKRD36C,0.059137940406799316,0.059137940406799316,False
TNFRSF17,MZB1,0.058679766952991486,0.058679766952991486,False
C9orf24,C1orf192,0.057861387729644775,0.057861387729644775,False
CST4,CST1,0.05663027614355087,0.05663027614355087,False
AKR1C1,AKR1C2,0.054664794355630875,0.054664794355630875,False
C1orf194,C9orf24,0.05427054315805435,0.05427054315805435,False
CPA2,CEL,0.05356104299426079,0.05356104299426079,False
HBG2,HBG1,0.053051162511110306,0.053051162511110306,False
ADIRF,ASPH,0.052668798714876175,0.052668798714876175,False
FTH1,FTL,0.05172470211982727,0.05172470211982727,False
ITPR2,PRSS1,0.05167260020971298,0.05167260020971298,False
HBA2,HBB,0.051084596663713455,0.051084596663713455,False
ADIRF,C12orf75,0.05056079477071762,0.05056079477071762,False
AKR1C2,AKR1C1,0.04997323080897331,0.04997323080897331,False
CPA2,CLPS,0.04967452585697174,0.04967452585697174,False
FTH1,RPL37A,0.04906563460826874,0.04906563460826874,False
HBA2,HBA1,0.04899739474058151,0.04899739474058151,False
CD1A,CD1E,0.048982057720422745,0.048982057720422745,False
ITPR2,SLC38A11,0.04812430217862129,0.04812430590391159,False
ITPR2,MEST,0.0479983426630497,0.0479983426630497,False
C1orf194,C1orf192,0.0478677973151207,0.0478677973151207,False
SAA1,SAA2,0.04783426597714424,0.04783426597714424,False
ITPR2,REG1A,0.04774148017168045,0.04774148017168045,False
FTH1,EEF1A1,0.047678571194410324,0.047678571194410324,False
C9orf24,C1orf194,0.047638364136219025,0.047638364136219025,False
HBG1,HBG2,0.04760930314660072,0.04760930314660072,False
DUOX2,DUOXA2,0.046953774988651276,0.046953774988651276,False
TFF2,TFF1,0.04673679545521736,0.04673679545521736,False
ADIRF,RNF43,0.04654313996434212,0.04654313996434212,False
CPA2,REG1B,0.04641600325703621,0.04641600325703621,False
ADIRF,RP11-462G2.1,0.04636624827980995,0.04636624827980995,False
FTH1,RPS28,0.046110693365335464,0.046110693365335464,False
ITPR2,IGF2,0.04597890377044678,0.04597890377044678,False
FTH1,RPL3,0.04587871581315994,0.04587871581315994,False
ITPR2,CPA2,0.0458608940243721,0.0458608940243721,False
ADIRF,RBP1,0.045683275908231735,0.045683275908231735,False
ITPR2,REG3G,0.045679159462451935,0.045679159462451935,False
COX4I2,HIGD1B,0.04558428004384041,0.04558428004384041,False
MUC5AC,CLDN18,0.045543137937784195,0.045543137937784195,False
ITPR2,TEX9,0.04534352570772171,0.04534352570772171,False
CPA2,ERP27,0.045241281390190125,0.045241281390190125,False
CST1,CST4,0.0452272854745388,0.0452272854745388,False
TOP2A,ASPM,0.04512515664100647,0.04512515664100647,False
ADIRF,DCBLD2,0.044997166842222214,0.044997166842222214,False
HBA1,HBG2,0.044701069593429565,0.044701069593429565,False
ITPR2,CEL,0.04463362321257591,0.04463362321257591,False
CP,EGLN3,0.04446820169687271,0.04446820169687271,False
ITPR2,REG1B,0.04442984610795975,0.04442984610795975,False
ITPR2,CPA1,0.04412192106246948,0.04412192106246948,False
SAA2,SAA1,0.04387752339243889,0.04387752339243889,False
ITPR2,ENTPD3,0.043863289058208466,0.043863292783498764,False
MEG3,MEST,0.043851643800735474,0.043851643800735474,False
CPA2,IGF2,0.04361981898546219,0.04361981898546219,False
FTH1,RPL23A,0.043508220463991165,0.043508220463991165,False
ADIRF,LY6D,0.043482452630996704,0.043482452630996704,False
REG1B,REG3G,0.0433635376393795,0.0433635376393795,False
HMMR,ASPM,0.04326687753200531,0.04326687753200531,False
FTH1,RPLP0,0.04320774972438812,0.04320774972438812,False
RP11-354E11.2,CPA3,0.043181948363780975,0.043181952089071274,False
CPA2,PRSS1,0.04310014098882675,0.04310014098882675,False
ADIRF,RP11-382A18.2,0.043017882853746414,0.043017882853746414,False
HBA1,HBA2,0.04299958795309067,0.04299958795309067,False
ITPR2,RHOBTB3,0.042651355266571045,0.042651355266571045,False
ITPR2,GAMT,0.04263477772474289,0.04263477772474289,False
CELA3A,CTRB1,0.042618751525878906,0.042618751525878906,False
CELA3A,CPB1,0.042470160871744156,0.042470160871744156,False
RPL23A,RPS20,0.042246609926223755,0.042246609926223755,False
CLSPN,ATAD2,0.04206623136997223,0.04206623136997223,False
ITPR2,ANXA1,0.041745223104953766,0.041745223104953766,False
ADIRF,KLK6,0.04167332872748375,0.04167332872748375,False
ITPR2,GATA2,0.041654009371995926,0.041654009371995926,False
JUN,FOS,0.04161752760410309,0.04161752760410309,True
ITPR2,RBPJ,0.04148285835981369,0.04148285835981369,False
TOP2A,CDK1,0.041446931660175323,0.041446931660175323,False
TM4SF4,DEFB1,0.04115467146039009,0.04115467146039009,False
CPA1,CPA2,0.0411241352558136,0.0411241352558136,False
CPA2,REG3G,0.04108939319849014,0.04108939319849014,False
MTRNR2L2,MTRNR2L12,0.041061051189899445,0.041061051189899445,False
DUOXA2,DUOX2,0.04097163677215576,0.04097163677215576,False
AKR1C1,SNCG,0.040900398045778275,0.040900398045778275,False
TOP2A,CENPF,0.0408501997590065,0.0408501997590065,False
ITPR2,NPB,0.04083765670657158,0.04083765670657158,False
AKR1C2,AKR1C3,0.0408359095454216,0.0408359132707119,False
SPINK13,HBA1,0.040809378027915955,0.040809378027915955,False
LY6D,KLK6,0.040769632905721664,0.040769632905721664,False
ADIRF,GABRP,0.04071839898824692,0.04071839898824692,False
CPA3,HDC,0.0405585914850235,0.0405585914850235,False
CTRB2,CTRB1,0.04046213999390602,0.04046213999390602,False
MEG3,AL132709.5,0.04033045098185539,0.04033045098185539,False
HMMR,CCNB1,0.04016609489917755,0.04016609489917755,False
TOP2A,UBE2C,0.04010670632123947,0.04010670632123947,False
REG1A,PRSS1,0.03998700529336929,0.03998700529336929,False
CPA2,MEST,0.039967991411685944,0.039967991411685944,False
CPA2,GAMT,0.03994554281234741,0.03994554281234741,False
AIF1,TYROBP,0.0398474745452404,0.0398474745452404,False
MT1H,MT1G,0.03984048590064049,0.03984048590064049,False
HMMR,CENPE,0.03976907581090927,0.03976907581090927,False
ADIRF,HMGA2,0.03967083618044853,0.03967083618044853,False
TOP2A,MKI67,0.03962792083621025,0.03962792083621025,False
UPK1B,KRT20,0.039447955787181854,0.039447955787181854,False
ITPR2,SMOC2,0.039349768310785294,0.039349768310785294,False
ITPR2,PRSS3,0.03923055902123451,0.03923056274652481,False
AKR1C2,NMB,0.03915339708328247,0.03915339708328247,False
CPA2,DPEP1,0.03908869996666908,0.03908869996666908,False
MTRNR2L12,MTRNR2L2,0.03908052667975426,0.03908052667975426,False
CPA2,NPB,0.03902840241789818,0.03902840241789818,False
CCL3,CCL4,0.039028000086545944,0.039028000086545944,False
REG3G,CEL,0.03886203095316887,0.03886203095316887,False
SLC18A2,RP11-354E11.2,0.038813021034002304,0.038813021034002304,False
