Regulator,Target,raw_importance,norm_importance,is_pdac_driver
RP11-532F6.3,CCDC3,0.11949462443590164,0.11949462443590164,False
LINC00528,SLC18A2,0.1171259731054306,0.1171259731054306,False
STAU2-AS1,MIR143HG,0.10940159857273102,0.10940159857273102,False
STAU2-AS1,RALYL,0.10940159857273102,0.10940159857273102,False
TRIM58,CCR4,0.10858361423015594,0.10858361423015594,False
TRIM58,RP4-633O19--A.1,0.10858361423015594,0.10858361423015594,False
AC004854.4,RP11-57H12.3,0.10671589523553848,0.10671589523553848,False
LINC00313,RP11-334A14.8,0.10593052208423615,0.10593052208423615,False
CRHBP,LDB2,0.10334417223930359,0.10334417223930359,False
RP5-839B4.8,LGI2,0.10238253325223923,0.10238254070281982,False
SELP,NUDT10,0.10086746513843536,0.10086746513843536,False
RP11-665G4.1,RP1-302G2.5,0.0995851382613182,0.0995851382613182,False
FCGR3A,ST6GALNAC5,0.09852632135152817,0.09852632135152817,False
EIF2B5-AS1,RP11-96C23.15,0.0959898978471756,0.0959898978471756,False
SIGLEC1,CBLN4,0.09435159713029861,0.09435160458087921,False
HLA-DQB2,KLHL32,0.09121828526258469,0.09121828526258469,False
RERGL,CTB-12O2.1,0.0910189226269722,0.0910189226269722,False
FAM20A,SMAD9,0.09087938815355301,0.0908793956041336,False
IL7R,SNORD3B-1,0.09047816693782806,0.09047816693782806,False
KCNJ8,FOXS1,0.08866974711418152,0.08866974711418152,False
LINC00426,RP11-131N11.4,0.08791201561689377,0.08791201561689377,False
TNFSF4,RCAN2,0.08764775097370148,0.08764775097370148,False
MARCH1,ZEB2-AS1,0.08607271313667297,0.08607271313667297,False
AC109826.1,COLEC12,0.0832948312163353,0.0832948312163353,False
MPDZ,ZDHHC15,0.08294544368982315,0.08294544368982315,False
SIRPG,HK3,0.08219954371452332,0.08219954371452332,False
RCAN2,RP11-65J3.14,0.08193832635879517,0.08193832635879517,False
RP5-930J4.4,RP11-104L21.3,0.08189430832862854,0.08189430832862854,False
RBP7,ADAMTS18,0.08124805986881256,0.08124805986881256,False
FOS,JUN,0.08084990829229355,0.08084990829229355,True
DNASE1L3,AC004067.5,0.080132395029068,0.080132395029068,False
CTC-325J23.2,TKTL1,0.07995246350765228,0.07995246350765228,False
CXCR5,AC005498.3,0.07969028502702713,0.07969028502702713,False
SCUBE3,RP1-93H18.7,0.07943152636289597,0.07943152636289597,False
DNAAF1,PKHD1L1,0.07797756791114807,0.07797756791114807,False
ABCC9,FOXF2,0.07763821631669998,0.07763822376728058,False
ABCC9,AF127936.3,0.07763821631669998,0.07763822376728058,False
FOXS1,KCNJ8,0.07754772901535034,0.07754772901535034,False
ZDHHC15,MPDZ,0.07732269912958145,0.07732269912958145,False
RETN,ZNF667,0.07721920311450958,0.07721920311450958,False
CYYR1,AC015922.6,0.07613608241081238,0.07613608241081238,False
MEIS3,ZNF804A,0.07543152570724487,0.07543152570724487,False
AP000692.10,CD1A,0.074815534055233,0.074815534055233,False
GNG11,LDB2,0.07476396858692169,0.07476396858692169,False
RP6-91H8.3,SCN3A,0.07440962642431259,0.07440962642431259,False
FMO3,RNF175,0.07430029660463333,0.07430029660463333,False
FABP7,RP11-81H14.2,0.07365391403436661,0.07365391403436661,False
ARHGEF25,RP11-302F12.10,0.0736338272690773,0.0736338272690773,False
TEPP,CHRNA3,0.07293044775724411,0.07293044775724411,False
TEPP,XXbac-BPG55C20.7,0.07293044775724411,0.07293044775724411,False
RP11-536O18.2,EXTL1,0.0728345736861229,0.0728345736861229,False
FOS,HSPA1A,0.07271517068147659,0.07271517068147659,True
NEXN,SCN7A,0.07224369794130325,0.07224370539188385,False
